"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"5469274875","454580","11863","13 Jun 2020 09:00","40:51","2451","50-22","50,22","Radiant","4 Zoomers","monkeys-forever, Legend, Husky, Noblewingz, Gunnar","Evil Geniuses","Cr1t-, Arteezy, Fly, Ryoya, kitrak"
"5469223685","454530","11979","13 Jun 2020 08:18","33:21","2001","47-18","47,18","Radiant","Team Secret","MATUMBAMAN, zai, Puppey, YapzOr, Nisha","OG","n0tail, topson, Saksa, SumaiL, MidOne"
"5469151857","454530","11979","13 Jun 2020 07:24","22:26","1346","7-26","7,26","Dire","OG","n0tail, topson, Saksa, SumaiL, MidOne","Team Secret","MATUMBAMAN, zai, Puppey, YapzOr, Nisha"
"5469062827","454530","11979","13 Jun 2020 06:25","29:39","1779","34-13","34,13","Radiant","Team Secret","MATUMBAMAN, zai, Puppey, YapzOr, Nisha","OG","n0tail, topson, Saksa, SumaiL, MidOne"
"5468742509","454459","11979","13 Jun 2020 03:26","26:41","1601","24-21","24,21","Dire","Nigma","MinD_ContRoL, KuroKy, w33, GH, Miracle","OG","n0tail, topson, Saksa, SumaiL, MidOne"
"5468653204","454440","11863","13 Jun 2020 02:34","43:12","2592","41-24","41,24","Radiant","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","Neon Esports","Skem, Jaunuel, raging-_-potato, Japoy.LFT, Mskiinfnty.PH2n"
"5468646252","454459","11979","13 Jun 2020 02:30","26:29","1589","37-10","37,10","Radiant","OG","n0tail, topson, Saksa, SumaiL, MidOne","Nigma","MinD_ContRoL, KuroKy, w33, GH, Miracle"
"5468529171","454440","11863","13 Jun 2020 01:15","40:26","2426","46-17","46,17","Radiant","Neon Esports","Skem, Jaunuel, raging-_-potato, Japoy.LFT, Mskiinfnty.PH2n","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur"
"5468445394","454406","11863","13 Jun 2020 12:07","28:56","1736","18-43","18,43","Dire","TNC Predator","March, kpii, Gabbi, TIMS, Armel","Neon Esports","Skem, Jaunuel, raging-_-potato, Japoy.LFT, Mskiinfnty.PH2n"
"5468345632","454406","11863","13 Jun 2020 11:00","37:33","2253","14-36","14,36","Dire","TNC Predator","March, kpii, Gabbi, TIMS, Armel","Neon Esports","Skem, Jaunuel, raging-_-potato, Japoy.LFT, Mskiinfnty.PH2n"
"5468240463","454369","11863","13 Jun 2020 09:31","48:07","2887","32-33","32,33","Dire","Adroit","@cmlcmlcml, Mac, Boombacs, Natsumi-, MightySavior","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur"
"5468141350","454369","11863","13 Jun 2020 08:12","49:00","2940","25-34","25,34","Dire","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","Adroit","@cmlcmlcml, Mac, Boombacs, Natsumi-, MightySavior"
"5468065178","454351","11863","13 Jun 2020 07:01","32:35","1955","17-44","17,44","Dire","Cignal Ultra","Erice, Grimzx, Van, Abat.LFT, James","Fnatic","iceiceice, Jabz, DJ, Moon, 23savage"
"5467997124","454351","11863","13 Jun 2020 06:02","25:10","1510","10-25","10,25","Dire","Cignal Ultra","Erice, Grimzx, Van, Abat.LFT, James","Fnatic","iceiceice, Jabz, DJ, Moon, 23savage"
"5467653781","454261","11979","12 Jun 2020 10:43","31:42","1902","38-13","38,13","Radiant","Team Secret","MATUMBAMAN, zai, Puppey, YapzOr, Nisha","OG","n0tail, topson, Saksa, SumaiL, MidOne"
"5467571585","454261","11979","12 Jun 2020 09:27","46:04","2764","37-28","37,28","Radiant","OG","n0tail, topson, Saksa, SumaiL, MidOne","Team Secret","MATUMBAMAN, zai, Puppey, YapzOr, Nisha"
"5467481788","454261","11979","12 Jun 2020 08:11","39:09","2349","40-18","40,18","Radiant","Team Secret","MATUMBAMAN, zai, Puppey, YapzOr, Nisha","OG","n0tail, topson, Saksa, SumaiL, MidOne"
"5467338855","454206","11979","12 Jun 2020 06:28","38:30","2310","25-34","25,34","Dire","Team Liquid","iNSaNiA, Boxi, qojqva, miCKe, Taiga","Nigma","MinD_ContRoL, KuroKy, w33, GH, Miracle"
"5467243363","454206","11979","12 Jun 2020 05:29","26:41","1601","11-19","11,19","Dire","Team Liquid","iNSaNiA, Boxi, qojqva, miCKe, Taiga","Nigma","MinD_ContRoL, KuroKy, w33, GH, Miracle"
"5467135969","454206","11979","12 Jun 2020 04:28","32:30","1950","48-11","48,11","Radiant","Team Liquid","iNSaNiA, Boxi, qojqva, miCKe, Taiga","Nigma","MinD_ContRoL, KuroKy, w33, GH, Miracle"
"5466877907","454159","11863","12 Jun 2020 01:52","26:00","1560","15-47","15,47","Dire","Execration","Benhur, poop, Rr?, Palos, yaha","Neon Esports","Skem, Jaunuel, raging-_-potato, Japoy.LFT, Mskiinfnty.PH2n"
"5466792669","454159","11863","12 Jun 2020 12:46","32:33","1953","37-13","37,13","Radiant","Neon Esports","Skem, Jaunuel, raging-_-potato, Japoy.LFT, Mskiinfnty.PH2n","Execration","Benhur, poop, Rr?, Palos, yaha"
"5466706819","454149","11863","12 Jun 2020 11:29","39:16","2356","25-24","25,24","Radiant","T1","poloson, Forev, Meracle, Jhocam, inYourdreaM","Reality Rift","NuTz, kYxY, Drew, Alacrity, Hustla"
"5466643789","454149","11863","12 Jun 2020 10:33","26:30","1590","33-11","33,11","Radiant","T1","poloson, Forev, Meracle, Jhocam, inYourdreaM","Reality Rift","NuTz, kYxY, Drew, Alacrity, Hustla"
"5466573754","454135","11863","12 Jun 2020 09:23","32:42","1962","18-32","18,32","Dire","Cignal Ultra","Erice, Grimzx, Van, Abat.LFT, James","Adroit","@cmlcmlcml, Mac, Boombacs, Natsumi-, MightySavior"
